Material,Isotope,Mass_octa,Mass_cube,Count,Activity,Sigma
SSi,Ac228,0.4781223,0.4781223,10000000.0,0.0,0.001
SSi,Bi214,0.4781223,0.4781223,10000000.0,0.006,0.002
SSi,Co60,0.4781223,0.4781223,10000000.0,0.015,0.007
SSi,Cs137,0.4781223,0.4781223,10000000.0,0.0,0.0003
SSi,K40,0.4781223,0.4781223,10000000.0,0.0,0.004
SSi,Pb210,0.4781223,0.4781223,10000000.0,0.0,0.1
SSi,Pb212,0.4781223,0.4781223,10000000.0,0.007,0.005
SSi,Pb214,0.4781223,0.4781223,10000000.0,0.0,0.001
SSi,Th232,0.4781223,0.4781223,10000000.0,0.0021000,0.011
SSi,Tl208,0.4781223,0.4781223,10000000.0,0.006,0.004
SSi,U235,0.4781223,0.4781223,10000000.0,0.003,0.001
SSi,U238,0.4781223,0.4781223,10000000.0,0.0,0.0062
Cu,K40,190.9730443,191.23,10000000.0,0.0,0.0003
Cu,Th232,190.9730443,191.23,10000000.0,0.0,0.002
Cu,U238,190.9730443,191.23,10000000.0,0.0,0.0006
PCu,K40,133.6269,133.62,1000000.0,0.0,0.0003
PCu,Th232,133.6269,133.62,1000000.0,0.0,0.002
PCu,U238,133.6269,133.62,1000000.0,0.0,0.0006
Pb,K40,13904.4091,17766.66,10000000.0,0.0,0.00133
Pb,Th232,13904.4091,17766.66,10000000.0,0.0,0.12
Pb,U238,13904.4091,17766.66,10000000.0,0.0014399,0.00131
PE,K40,401.5813,512.57,10000000.0,0.0,0.001
PE,Co60,401.5813,512.57,10000000.0,0.0,5.999995e-05
PE,Cs137,401.5813,512.57,10000000.0,0.0,5.999995e-05
PE,Th232,401.5813,512.57,10000000.0,0.0003,7.000001e-05
PE,U238,401.5813,512.57,10000000.0,0.00065,8e-05
ti,Co60,38.6412,38.46,10000000.0,0.0,0.00017
ti,Cs137,38.6412,38.46,10000000.0,0.0,0.000239998
ti,K40,38.6412,38.46,10000000.0,0.0,0.0015
ti,Ra226,38.6412,38.46,10000000.0,0.0,0.00058
ti,Sc46,38.6412,38.46,10000000.0,0.0044,0.0003
ti,Th228,38.6412,38.46,10000000.0,0.0007,0.003
ti,Th232,38.6412,38.46,10000000.0,0.0,0.000810001
ti,U235,38.6412,38.46,10000000.0,0.0014,0.003
ti,U238,38.6412,38.46,10000000.0,0.027,0.006
